Date,003B70,10646E,1490F3,159AE4,275300,2FEA66,315EB0,37727A,420168,4FB770,51D876,56EA2B,6284B5,6B236C,6BF593,7999F3,7C4168,8EF425,900356,A4386C,A80FE0,AE4EEB,AFEC35,B5DE80,CE4FD9,DB30C3,DB7014,DC5299,F67165,FF4BA4
2023-06-30,51.701,27.299,105.1627,17.2684,99.1533,175.0401,739.4192,38.0908,50.6638,133.4947,80.71,101.0625,52.2651,31.2707,14.6202,43.5672,221.2487,135.3696,101.2749,17.8891,181.3316,60.2193,263.4832,55.7618,76.2757,113.1309,87.8535,100.8857,215.4809,31.0868
2023-07-03,52.0555,27.6464,106.4187,17.6187,100.4848,176.1776,738.8722,38.7114,51.4115,134.9027,81.8,103.4045,52.679,31.6889,15.0459,44.4797,223.4158,137.0455,102.643,18.3163,182.3601,60.694,264.4852,56.3125,76.8226,114.2564,88.3437,102.0441,217.587,31.1146
2023-07-05,52.4273,27.2122,106.4833,17.6888,102.5733,175.8539,745.2483,38.472,51.086,134.2122,81.97,104.1614,53.5621,31.5071,14.9243,44.9589,230.041,136.9474,103.669,18.4854,185.4643,60.7396,263.5103,56.2042,76.5492,114.3855,88.0441,101.4973,216.3362,30.8363
2023-07-06,51.7961,26.8734,105.7353,17.715,101.5377,177.944,736.9669,38.4366,50.5142,133.136,81.9,104.1614,53.5989,31.5889,14.9156,44.4059,228.1413,137.0633,104.4496,18.4409,183.2671,61.196,262.6437,55.9695,75.7099,113.463,88.1349,101.9236,215.9867,30.2982
2023-07-07,51.5107,27.0384,105.098,17.426,100.537,176.7048,728.4497,38.1859,51.9746,132.84,81.87,104.1971,53.3045,31.5798,15.1588,44.1479,229.9265,136.5374,103.9672,18.2896,182.837,60.7396,259.1592,55.3466,75.2573,112.5404,87.1362,100.8023,214.5152,31.0311
2023-07-10,51.2946,27.3859,105.292,17.3297,100.2063,177.8515,738.9571,38.2396,52.2121,134.0956,83.34,103.3511,54.0588,31.5889,15.4542,44.2124,227.0434,136.7068,106.072,18.3252,180.967,61.0317,262.6076,55.3917,74.6538,112.3744,88.0713,101.1637,215.4717,31.4486
2023-07-11,52.3149,27.6117,107.5177,17.7588,100.8938,179.5717,742.4281,38.7858,53.6197,136.2839,83.8,105.417,53.8472,32.0434,15.4803,44.9681,230.8525,138.7659,107.8786,18.7791,181.9487,61.6251,265.2706,56.6826,76.2851,113.6752,90.4953,102.8039,218.9665,31.5785
2023-07-12,52.1506,27.7159,108.746,17.9077,101.3289,179.7197,745.9651,38.6694,53.6813,137.1235,86.43,104.8649,54.5923,32.0888,15.3152,44.5257,232.2463,140.1922,107.3787,18.6634,182.7248,61.5429,267.4551,56.9715,75.1442,115.5387,90.5226,103.0263,221.3577,31.6156
2023-07-13,52.704,27.2469,109.2447,18.1003,100.3977,181.0052,755.9254,38.8753,54.6402,139.4438,88.3,105.9068,54.3715,32.2706,15.4542,44.7193,232.7904,140.0663,106.8525,19.0283,184.0431,62.0906,269.748,57.2423,76.2474,117.1162,91.3759,103.7213,224.7973,31.6805
2023-07-14,52.5916,27.3685,109.2355,17.9602,100.6414,183.0305,759.9718,38.8305,54.0683,140.6265,86.99,106.4767,54.7395,32.1797,15.1154,44.3045,232.714,140.471,106.3614,19.0461,181.3597,62.5379,272.2937,57.2333,75.4176,117.8543,91.031,103.7398,225.7261,31.6156
