Date,09F623,14BA06,164D72,16B183,2920D5,2B49F4,2D2D43,366A08,388E00,3FACA7,641F17,902670,940C3D,A43906,AA5C8E,CA212F,D0909F,D54E62,E15736,E21871,E70531,EAEBF3,FE89E0,HTA3J9,VERNOV,VISTRA
2023-07-21,57.5922,48.0655,52.1162,35.2784,209.0033,34.6698,118.735,38.4381,24.8241,96.0563,113.2346,24.6697,33.5843,113.7153,15.4197,58.1295,138.5561,144.0903,127.1737,30.5105,94.5807,75.8042,105.5833,95.0359,,27.594
2023-07-24,58.2505,48.8289,53.056,35.8627,211.1142,35.9087,121.1602,38.2454,24.9728,97.0739,115.7388,25.011,33.973,115.1206,15.6883,59.6416,141.9274,146.9324,130.064,30.6097,96.0647,76.4808,107.2948,94.9867,,27.5356
2023-07-25,58.5016,49.114,53.8562,36.1275,212.5667,36.0588,121.3678,38.1876,25.2331,97.8552,114.6617,25.3426,33.8782,117.2652,15.645,60.6848,143.5644,147.6043,131.4956,30.6277,96.2103,76.7534,108.6603,95.941,,27.341
2023-07-26,58.5536,48.8841,53.6608,36.5109,213.5543,35.8617,123.0099,39.9987,25.2331,99.5632,116.1716,25.4694,33.6791,118.0135,15.5497,60.1488,143.8372,146.4965,130.5502,30.7088,95.6732,76.4808,109.2683,95.7639,,27.6426
2023-07-27,57.9819,48.0287,53.056,36.0453,213.6512,35.599,122.2832,39.9024,25.0658,98.9272,115.5179,25.2257,32.8545,117.5025,15.4197,59.1918,144.1295,144.9711,129.9739,30.6908,95.9736,75.7102,108.2862,93.875,,27.341
2023-07-28,58.2245,48.7461,53.177,36.657,216.3138,35.8148,124.4065,40.7309,25.4747,100.2536,118.8323,25.4598,33.5749,119.2728,15.4637,59.4119,145.2013,144.2538,131.1355,30.6998,94.8265,76.2492,108.4265,94.1898,,26.9713
2023-07-31,58.9099,49.6658,54.2843,36.9674,218.5119,36.6783,125.5295,40.6345,25.5955,101.3438,118.685,25.6255,33.9256,120.9428,15.587,60.4168,147.8419,148.6031,132.6481,31.0513,97.6306,77.5353,110.1007,95.085,,27.3021
2023-08-01,58.5232,49.3715,53.605,36.7392,217.5533,36.8566,127.3414,40.1432,25.6513,101.8526,118.5561,25.5379,33.9066,120.231,15.4549,59.9479,147.7152,147.3682,133.1524,30.7359,97.0661,77.176,109.7827,94.7407,,27.1367
2023-08-02,57.5742,45.7477,53.4747,35.6162,220.7099,36.6314,128.219,39.3629,25.1215,99.0181,117.2198,25.0793,33.7076,118.6705,15.2789,58.8282,145.6301,145.0347,132.1709,30.3573,95.8553,76.7599,108.1085,94.0029,,27.234
2023-08-03,57.9608,46.7503,53.9493,38.0356,222.6852,37.2508,128.5493,40.201,25.7442,100.3081,116.5609,25.1476,33.7929,120.1763,15.3669,59.5364,148.0465,144.9802,133.6296,31.0423,97.5213,77.3651,107.5474,99.5023,,27.1853
2023-08-04,57.337,46.7227,53.6608,38.2274,226.6358,37.1194,130.1819,40.2685,25.6234,100.3717,117.758,25.5379,33.6697,118.4515,15.2789,60.7901,149.0209,144.6533,133.7737,30.9702,97.7944,77.9892,106.3502,102.257,,27.7691
2023-08-07,57.293,46.7319,53.94,38.5013,224.9509,37.1569,132.1165,40.6056,25.8372,101.2439,119.9853,25.3818,33.927,116.4712,15.2965,61.1537,147.9491,145.1799,133.7917,31.0694,97.5941,77.6299,107.0704,102.0701,,27.9248
2023-08-08,56.3704,46.6951,54.4424,39.5604,225.987,37.3353,133.7962,41.4854,25.6513,102.3704,121.8878,25.1867,33.9842,117.1739,15.3845,61.0102,149.4788,144.962,134.3409,31.3939,98.0766,78.3297,108.1085,103.1129,,28.0416
2023-08-09,56.5461,47.0814,55.3729,40.3729,229.0856,37.9735,135.9384,42.5876,26.2926,103.9512,124.3099,25.6255,34.4227,119.3732,15.4461,61.0676,152.3922,145.1527,136.2153,31.7814,99.7427,79.7009,108.9035,103.4081,,29.4913
