Date,013528,063384,14C7B2,14ED2B,1D1B07,2B7A40,2BA977,2E61CC,2F98A5,3DE4D1,543900,5CC29D,713810,719477,789ADD,78F9ED,7A10FF,859D62,95DC1F,9AF3DC,9CA619,9D2790,9D56F2,9F03CF,AD1ACF,B8EF97,C356AC,C4A432,CA1620,D09938,E61E5B,EB6965,FA40E2,FACF19,KENVUE
2023-06-08,165.6802,85.2142,29.039,172.2428,231.3675,66.8239,36.4804,136.4876,136.0152,121.0143,42.5748,106.9383,49.2791,144.2607,90.853,60.6215,67.7587,62.8643,43.0651,57.299,73.8964,66.7759,84.421,237.1356,46.2474,500.4129,32.1202,36.5964,81.3343,57.53,60.7696,71.4206,30.0411,28.2366,22.4677
2023-06-09,165.9077,87.4946,28.9465,167.8685,228.7169,67.1386,36.3678,136.5995,138.321,120.8167,41.9194,107.1457,49.5771,143.5643,91.0951,60.6763,67.6475,61.817,43.451,57.8069,73.5835,67.2021,84.9268,237.7863,45.8019,497.7092,31.8525,36.8126,81.7049,57.25,60.7696,71.5243,29.9714,27.8554,22.4587
2023-06-12,165.4982,87.6535,28.8726,170.8164,231.3959,67.7217,36.6172,135.5276,136.0782,120.9604,41.8556,107.0043,49.9041,142.7212,91.1822,61.2606,67.4992,61.058,43.6486,56.292,72.9397,67.0076,84.8893,237.2007,46.0565,501.2596,31.5934,36.8216,81.7578,57.91,61.6564,71.4111,29.9191,28.0503,22.3871
2023-06-13,165.1707,89.8777,29.1407,175.6091,234.2074,68.749,36.8021,135.2014,136.2133,120.7808,42.1014,108.4943,50.2928,143.2985,91.9179,61.854,67.4157,62.6433,44.1004,56.4469,72.1798,67.4059,84.6177,239.5616,45.7018,502.2699,31.7834,36.7765,82.3314,58.18,61.7995,70.9584,30.0673,28.3253,22.4856
2023-06-14,166.6537,89.0833,29.3626,182.7316,233.8287,67.7032,36.0878,136.469,137.3212,121.3736,41.7919,108.4471,50.8012,141.0716,92.3245,61.5801,67.7958,62.4127,44.4297,56.9289,72.1082,67.4708,85.2172,242.22,45.2472,507.2539,31.6711,37.1548,82.1196,58.48,62.4193,71.1282,30.4683,27.9351,22.6735
2023-06-15,168.9647,88.0366,29.3626,189.6259,235.8924,69.0082,36.252,138.361,137.6995,122.4516,42.2744,108.2019,51.0797,142.0064,92.7795,60.8041,68.1018,62.6433,43.2345,56.7568,72.1619,67.9988,86.1538,242.471,45.6564,509.159,31.8439,37.1999,83.5933,58.8,62.5718,72.4297,30.3288,28.3874,23.0403
2023-06-16,169.2649,90.1207,29.7416,193.9431,232.901,69.8597,36.1863,139.3769,137.8976,123.6732,42.2562,107.8247,50.3672,143.4543,93.0893,60.5119,68.2037,62.8355,43.451,57.058,72.1619,67.9896,86.7814,242.3409,45.82,503.8382,31.9475,37.1729,83.7345,58.45,62.3144,73.3539,30.1981,28.9635,23.4877
2023-06-20,168.6008,87.3918,29.5197,187.8571,230.7332,68.5639,35.6936,138.0907,136.3124,122.5144,41.6827,106.844,49.9236,142.4737,91.4145,60.8041,67.9163,62.2878,43.131,56.4297,72.0993,67.1465,87.053,240.2402,45.3108,500.0377,31.6279,36.7315,83.6727,58.36,62.1427,73.203,29.8493,28.7153,23.3177
2023-06-21,168.7099,85.8123,29.3441,185.1945,233.1377,67.9901,36.0878,139.2837,137.3482,124.0954,41.5826,106.9006,50.0207,143.1885,93.2732,60.7493,67.8051,63.7194,42.9898,56.1542,72.7609,67.2577,87.3996,240.6399,45.8928,499.9607,31.1529,36.6414,85.0229,58.41,61.7232,73.203,29.9801,27.9794,23.443
2023-06-22,170.4568,87.1675,29.5105,185.9458,232.1816,67.6199,35.9318,139.7591,136.9249,123.5025,41.6736,108.4471,50.4385,143.7292,94.4349,60.6854,68.3613,63.2582,43.3569,56.4211,72.6894,67.8506,87.8117,241.9598,45.8382,504.3674,31.1529,36.5784,85.5683,59.69,62.7816,73.5614,29.9801,28.2721,23.7561
