date,0157B1,03B8CF,55018,61366,0624BE,063384,067779,06EF42,07EC43,095294
2004-08-04,1.8516,37.9013,50.2339,134.95,24.2643,26.0787,30.2908,16.1868,5826,37.3157
2004-08-05,1.7763,37.1677,49.0826,138.93,22.3949,25.9367,29.4881,15.9319,5.6568,36.6469
2004-08-06,1.7703,36.3931,48.3639,139.09,22.1306,25.6784,28.9242,15.9545,5.5098,35.5295
2004-08-09,1.7619,36.2017,48.2025,140.57,22.6791,25.7882,28.7384,15.9659,5.6011,35.5946
2004-08-10,1.8506,36.2746,50.0506,133.24,22.6658,25.7946,29.1895,16.4304,5.7124,36.0514
2004-08-11,1.8237,36.1015,49.3906,136.9,19.8611,25814,28.9839,16.3171,5.6234,35.0728
2004-08-12,1.8102,35.4453,49.2732,150.16,19.3195,25.7107,28493,15.9942,5.4475,35.04
2004-08-13,1.8023,35.3861,49.8819,148.38,19.5972,25.4976,28.7849,16.0168,5.5321,35.1461
2004-08-16,1893,35.6458,50.9819,149.97,20.2204,25.5622,29163,16.5041,5.6278,35.9619
2004-08-17,1907,35.8509,51.0479,150.44,20.0917,25.5299,29.4151,17.1047,5.6434,35921
2004-08-18,1.9634,36.4523,51.3999,156.2,20.5727,25.6849,29.6075,17.0707,5.8148,36.4103
2004-08-19,1927,36.4432,51.2972,149.75,20.3357,25.6849,29.7866,16946,5.7503,36704
2004-08-20,1.9709,36.5754,51.9573,158.81,20.6471,25136,29.6871,17.1896,5.9039,36761
2004-08-23,1.9679,36.6164,51.5466,155.35,20.5458,25.3749,29.5876,17.5352,5.8081,36.7367
2004-08-24,1.9479,36.7166,51.6712,146.56,20.1999,25.6332,29.5809,17.4163,5.8326,37.1118
2004-08-25,2.0103,36.9991,51.6933,148.1,19.9897,25517,29.9723,17.0763,5.9773,37.7481
2004-08-26,2.0048,37031,51.0259,169.0,19.9424,25588,30.0188,17201,6.0107,38.1558
2004-08-27,1.9903,37.1267,50.5419,167.12,19787,26.3305,30.0917,17.4333,6.0597,38.1641
